Gene,Si,Koni,Koffi,SKoffi,Exi
PF3D7-1420900,0.000718,239.807075,46.465949,1.6e-05,0.000576
PF3D7-1421000,0.003999,123.432998,136.972383,3e-05,0.001881
PF3D7-1421100,0.001023,16.057758,19.197455,5.6e-05,0.000467
PF3D7-1421150,0.016913,141.666373,191.970622,9.1e-05,0.007055
PF3D7-1421200,0.002613,20.263256,22.601946,0.000125,0.001233
PF3D7-1421300,0.000431,167.587081,43.075535,1e-05,0.000343
PF3D7-1421400,0.001086,120.982109,52.151943,2.2e-05,0.000756
PF3D7-1421500,0.0032,83.62377,41.987888,8.2e-05,0.002077
PF3D7-1421600,0.000629,176.652367,75.165485,9e-06,0.00044
PF3D7-1421700,0.01218,124.664098,153.302972,8.3e-05,0.005452
PF3D7-1421800,0.001304,200.449344,160.081231,8e-06,0.000722
PF3D7-1421900,0.002338,116.822121,165.869972,1.5e-05,0.000968
PF3D7-1422000,0.003556,96.042075,76.066723,4.9e-05,0.001981
PF3D7-1422100,0.000778,160.868919,78.328096,1e-05,0.000513
PF3D7-1422200,0.001086,135.978614,55.305963,2.1e-05,0.000762
PF3D7-1422300,0.000981,132.443881,104.719315,1e-05,0.000543
PF3D7-1422400,0.000621,65.249361,71.171359,9e-06,0.000294
PF3D7-1422500,0.000822,110.104672,61.558087,1.3e-05,0.000523
PF3D7-1422600,0.000995,121.595436,117.795054,9e-06,0.000505
PF3D7-1422700,0.000484,158.06173,86.172931,6e-06,0.000313
PF3D7-1422800,0.001337,126.673446,152.647495,9e-06,0.000605
PF3D7-1422900,0.001119,205.702691,204.349764,6e-06,0.000549
PF3D7-1423000,0.001851,36.704613,36.344686,5.1e-05,0.000905
PF3D7-1423100,0.000509,95.460074,102.897707,5e-06,0.000245
PF3D7-1423200,0.000965,84.719992,63.455487,1.6e-05,0.000545
PF3D7-1423300,0.001159,12.731057,14.895698,8e-05,0.000534
PF3D7-1423400,0.000385,187.166977,135.036582,4e-06,0.000225
PF3D7-1423500,0.00053,23.412068,29.949987,2e-05,0.000235
PF3D7-1423600,0.000719,169.378928,223.938949,3e-06,0.000309
PF3D7-1423700,0.001081,6.209513,7.685958,0.000143,0.000483
PF3D7-1423800,0.000739,63.792172,72.003451,1.1e-05,0.000343
PF3D7-1423900,0.017419,120.699484,55.166444,0.000327,0.011916
PF3D7-1424100,0.002381,4.823447,6.187419,0.000389,0.001043
PF3D7-1424400,0.002681,3.140757,4.357023,0.000619,0.001123
PF3D7-1424500,0.010069,126.599285,42.806009,0.00024,0.007365
PF3D7-1424700,0.019586,115.255798,68.448858,0.000294,0.01221
PF3D7-1424800,0.010932,265.339741,64.036066,0.000176,0.008673
PF3D7-1424900,0.020285,231.681411,111.49451,0.000186,0.013645
PF3D7-1425000,0.009503,63.267949,37.321173,0.000266,0.005956
PF3D7-1425200,0.000718,142.986247,104.150691,7e-06,0.000415
PF3D7-1425100,0.011579,94.335889,39.376952,0.000327,0.008084
PF3D7-1425300,0.002331,96.992561,121.052239,2.2e-05,0.001016
PF3D7-1425400,0.000646,57.099835,40.407087,1.6e-05,0.000354
PF3D7-1425500,0.001649,120.544528,49.817014,3.5e-05,0.001157
PF3D7-1425600,0.00024,172.756852,79.574236,3e-06,0.000163
PF3D7-1425700,0.000747,241.388135,79.724236,1e-05,0.00056
