Gene,Si,Koni,Koffi,SKoffi,Exi
PF3D7-0215400,0.000523,116.070893,62.777353,8e-06,0.000338
PF3D7-0215500,0.000536,221.660296,75.65216,7e-06,0.0004
PF3D7-0215600,0.001239,193.112281,117.299313,1.1e-05,0.00077
PF3D7-0215700,0.000537,124.098998,62.916592,9e-06,0.000354
PF3D7-0215800,0.000713,121.006799,62.492047,1.2e-05,0.00047
PF3D7-0215900,0.002338,148.445217,90.009219,2.6e-05,0.001449
PF3D7-0216000,0.000286,136.424114,73.838838,4e-06,0.000184
PF3D7-0216100,0.000864,172.022924,114.933061,8e-06,0.000518
PF3D7-0216200,0.002232,147.196516,94.152324,2.4e-05,0.001358
PF3D7-0216300,0.000561,141.859813,87.415621,6e-06,0.000345
PF3D7-0216400,0.000836,169.686651,57.016251,1.5e-05,0.000624
PF3D7-0216500,0.000386,135.373305,110.518774,4e-06,0.000211
PF3D7-0216600,0.00054,169.561336,57.987881,9e-06,0.000403
PF3D7-0216700.1,0.000364,154.455902,76.396045,5e-06,0.000242
PF3D7-0216700.2,0.00035,237.783671,84.968589,4e-06,0.000258
PF3D7-0216800,0.000513,151.34658,87.97125,6e-06,0.000324
PF3D7-0216900,0.000947,130.883216,51.499802,1.9e-05,0.000679
PF3D7-0217000,0.000645,128.311575,88.11046,8e-06,0.000383
PF3D7-0217100,0.001625,76.14286,43.669148,3.7e-05,0.001028
PF3D7-0217200,0.00049,126.667097,96.888139,5e-06,0.000277
PF3D7-0217300,0.003062,136.378437,95.328011,3.2e-05,0.0018
PF3D7-0217400,0.001285,161.380649,67.549414,1.9e-05,0.000905
PF3D7-0217500,0.00049,148.349573,83.174654,6e-06,0.000314
PF3D7-0217600,0.000481,124.468175,75.339173,6e-06,0.000299
PF3D7-0217700,0.001229,191.217487,147.145504,8e-06,0.000683
PF3D7-0217800,0.007216,25.357004,29.40657,0.000258,0.003353
PF3D7-0217900,0.000824,124.853251,77.41807,1.1e-05,0.00051
PF3D7-0218000,0.001747,157.64243,72.593418,2.5e-05,0.001187
PF3D7-0218100,0.00125,148.436087,46.246114,2.7e-05,0.000949
PF3D7-0218200,0.00058,131.141607,77.217387,8e-06,0.000366
PF3D7-0218300,0.001775,151.226088,70.257362,2.6e-05,0.001202
PF3D7-0218400,0.001067,196.449401,98.191724,1.1e-05,0.000709
PF3D7-0218500,0.001239,111.394919,101.860615,1.2e-05,0.000648
PF3D7-0218600,0.000864,20.603402,23.506373,3.7e-05,0.000403
PF3D7-0218700,0.001138,133.450652,67.504729,1.7e-05,0.000754
PF3D7-0218800,0.002602,180.054972,102.093264,2.6e-05,0.001657
PF3D7-0218900,0.008701,152.335293,51.967458,0.000169,0.006481
PF3D7-0219000,0.02476,153.741803,147.554082,0.000172,0.012653
PF3D7-0219100,0.000791,171.575437,60.732109,1.3e-05,0.000584
PF3D7-0219200,0.00182,126.960358,99.680263,1.9e-05,0.00102
PF3D7-0219300,0.002146,147.629604,66.268495,3.3e-05,0.001477
PF3D7-0219400,0.001081,197.542261,101.890816,1.1e-05,0.000709
PF3D7-0219500,0.001272,165.254678,56.399592,2.3e-05,0.000944
PF3D7-0219600,0.001316,75.339854,66.588704,2e-05,0.000675
PF3D7-0219700,0.001067,162.116049,55.288302,2e-05,0.000794
PF3D7-0219800,0.00039,225.159211,64.568502,6e-06,0.000303
PF3D7-0219900,0.000918,164.734046,86.831185,1.1e-05,0.000601
PF3D7-0220000,0.00439,1.592534,3.123865,0.001407,0.001482
PF3D7-0220100,0.00049,119.141606,59.819733,8e-06,0.000325
PF3D7-0220200,0.006048,2.43422,3.414541,0.001773,0.002517
PF3D7-0220300,0.000697,126.342511,43.350571,1.6e-05,0.000519
PF3D7-0220500,0.000942,179.933065,134.808505,7e-06,0.000535
PF3D7-0220600,0.001081,96.444098,65.149964,1.7e-05,0.000642
PF3D7-0220700,0.001288,130.374426,58.596682,2.3e-05,0.000889
PF3D7-0220800,0.000316,135.010538,55.16294,6e-06,0.000223
PF3D7-0221000,0.001644,207.62807,90.280394,1.8e-05,0.001141
PF3D7-0221200,0.000589,160.319844,51.360292,1.1e-05,0.000445
PF3D7-0221400,0.001742,162.136763,88.365209,2e-05,0.001126
PF3D7-0221700,0.000572,125.536736,47.333233,1.2e-05,0.000413
PF3D7-0221800,0.000724,152.679848,54.400576,1.4e-05,0.000529
PF3D7-0221900,0.001355,181.754024,114.925942,1.2e-05,0.000825
PF3D7-0222100,0.001311,161.095907,81.765045,1.6e-05,0.000867
PF3D7-0222500,0.001888,138.589525,101.014133,1.9e-05,0.001091
PF3D7-0222600,0.001174,188.888592,47.473536,2.5e-05,0.000937
PF3D7-0222700,0.001506,152.21275,76.222685,2e-05,0.000993
PF3D7-0222800,0.002244,179.386521,175.880398,1.3e-05,0.001137
PF3D7-0223100,0.001575,170.013332,84.827734,1.9e-05,0.001044
PF3D7-0223200,0.001407,114.526013,46.496117,3.1e-05,0.000999
PF3D7-0223300,0.001128,201.540433,81.909355,1.4e-05,0.0008
PF3D7-0223400,0.001575,150.143186,70.425571,2.3e-05,0.001058
PF3D7-0223500,0.000248,133.879526,58.76897,4e-06,0.000169
PF3D7-0300100,0.000262,119.8442,69.128321,4e-06,0.000166
